Brand,Area,Whiskies,Votes,Rating,WB Ranking
Excellency Club,Scotland,1,NA,NA,G
Excise Officer's Dram,Scotland,1,NA,NA,G
Exclusive Malts,Scotland,1,1,85.67,C
Executive,Scotland,2,NA,NA,G
Exhibition,Scotland,7,3,86.83,C
Exotic Cargo,Scotland,3,2,87.4,C
Express Load,United States,NA,NA,NA,G
Eylandt Legend,Netherlands,7,5,64.2,G
Ezra Brooks,United States,40,21,81.55,D
Ezra Cox Distillery,United States,1,NA,NA,G
Fading Hill,Germany,20,13,77.92,E
Fado Vivo,Belgium,1,1,83.67,D
Fafnir,France,1,1,65,G
Fairgrounds,United States,1,NA,NA,G
Fairy Flag,Scotland,1,1,80,D
Falcon,Scotland,1,NA,NA,G
Fall Springs,United States,1,NA,NA,G
Fallsteiner-Whisky,Germany,2,1,61.5,G
Family-Owned Distillery,Scotland,1,1,86,C
Fantastic Fred,Scotland,1,1,86,C
Farmer John's,United States,1,NA,NA,G
Farmer's Club,Switzerland,1,1,62,G
Farmer's Malt,Scotland,6,2,80,D
Farrell,Ireland,1,1,77,E
Farthofer,Austria,2,NA,NA,G
Fary Lochan,Denmark,22,15,79.66,E
Fascadale,Scotland,9,9,84.61,D
Fauchon,France,1,NA,NA,G
Faultline,Scotland,4,2,83,D
Favourite Distillery,Scotland,1,1,91,B
Fearless,United States,2,1,79,E
FECKiN,Ireland,5,4,70.96,F
Federal Club,United States,4,NA,NA,G
Federal Reserve,United States,1,NA,NA,G
Feindestillerie Geistreich,Germany,1,NA,NA,G
Feisty Spirits,United States,3,NA,NA,G
Feller,Germany,13,9,82.24,D
Fellsglen,Scotland,1,NA,NA,G
Feral Clangs,Scotland,1,1,89.83,C
Ferintosh,Scotland,2,2,59,G
Ferry to Islay,Scotland,6,3,85.69,C
Fest!,Scotland,1,NA,NA,G
Fettercairn,Scotland,329,241,83.92,D
Feuerwasser,Scotland,1,1,86,C
FEW,United States,25,20,82.3,D
Fiddler's Choice,Canada,1,1,86,C
Fife-Keith Reserve,Scotland,1,NA,NA,G
Fifth State,United States,NA,NA,NA,G
Fifty / Fifty,Scotland,3,3,82.91,D
Fifty Six Degrees,Scotland,1,1,73,F
Fighting Cock,United States,9,6,85.52,C
Filibuster,United States,5,2,82.38,D
Finch,Germany,35,31,79.45,E
Finch's,Scotland,1,NA,NA,G
Findlater's,Scotland,23,6,82.18,D
Fine Blended Malt Whisky,,NA,NA,NA,G
Fine Blended Malt Whisky,,1,1,90.25,B
Fine Blended Whisky,Scotland,1,1,89.84,C
Fine Single Grain Whisky,Scotland,1,1,91.43,B
Fine Single Highland Scotch Malt Whisky,Scotland,3,1,94,B
Fine Single Orkney Scotch Malt Whisky,Scotland,1,NA,NA,G
Fine Single Speyside Scotch Malt Whisky,Scotland,1,1,90,B
Fine Tennessee Whiskey,United States,1,1,86.38,C
Finest Blended Scotch Whisky,Scotland,1,NA,NA,G
Finest Irish,Ireland,1,1,89.91,C
Finest Old Blended Scotch Whisky,Scotland,1,NA,NA,G
Finest Tyrolian,Austria,1,1,84,D
Finian's,Ireland,1,NA,NA,G
Finlaggan,Scotland,48,36,82.03,D
Finnegan,Ireland,2,2,77,E
Finoh's,United States,1,NA,NA,G
Fior Càirdeas,Scotland,1,NA,NA,G
Fiorghlan,Scotland,2,NA,NA,G
Fire Water,United States,1,NA,NA,G
Firean,Scotland,1,1,71.33,F
Firefly,United States,1,1,87,C
First and Foremost,Scotland,1,NA,NA,G
First Foot,Scotland,1,NA,NA,G
Firstwatch,,2,2,70,F
Fish Wasser,Switzerland,3,1,74.5,F
Fisselier,France,1,NA,NA,G
Fitch's Goat,United States,2,NA,NA,G
Flaitheanas,Scotland,1,1,88.57,C
Flaming Cask,Scotland,4,NA,NA,G
Flaming Fergie,Scotland,1,1,86.44,C
Flaming Heart,Scotland,9,8,87.29,C
Flaming Pig,Ireland,1,1,64,G
Flannigans,Ireland,1,1,77,E
Flatnöse,Scotland,4,3,81.71,D
Fleeting,Scotland,4,4,85.79,C
Fleischmann's,United States,5,NA,NA,G
Fletcher's,Scotland,2,NA,NA,G
Fleurieu Distillery,Australia,4,NA,NA,G
Flóki,Iceland,27,21,68.83,G
Florida Caribbean,United States,3,NA,NA,G
Flower of Scotland,Scotland,12,1,81.6,D
Flowery Moon,Scotland,1,1,88.25,C
Floyd's 55,Germany,NA,NA,NA,G
Fochabers Bicentenary,Scotland,1,1,84,D
Fog's End,United States,2,1,69,G
For Ever Young Pristine,Scotland,1,1,92.67,B
Foreman,,1,NA,NA,G
Forgan,United Kingdom,1,NA,NA,G
Forged Oak,United States,1,1,86.67,C
Fort George,Scotland,1,NA,NA,G
Fortbacher,Germany,1,1,80,D
Forth Bridge Centennial,Scotland,1,NA,NA,G
Forties,Scotland,1,1,86,C
Fortnum & Mason,United Kingdom,3,NA,NA,G
Forty Creek,Canada,18,16,82.33,D
Founders,Scotland,1,NA,NA,G
Founders Whisky,Scotland,1,NA,NA,G
Four Kings,United States,2,NA,NA,G
Four Roses,United States,845,204,83.81,D
Foxy Fiona,Scotland,1,1,86.93,C
Francis,Scotland,8,1,79,E
Franklin County Distilleries,United States,2,NA,NA,G
Franziskus,Germany,1,1,13,G
Fraser Mc.Donald's,Scotland,1,NA,NA,G
Fraser's,Scotland,2,NA,NA,G
Frasers Reserve,Scotland,3,3,70.78,F
Frazer McHugh,Scotland,1,NA,NA,G
Frederick's,,1,1,90.09,B
Freihof,Switzerland,6,2,76.25,E
Fremont Mischief,United States,2,1,60,G
Friar John Cor,Scotland,2,2,72.75,F
Fritzen's,Germany,1,NA,NA,G
From arguably the Greatest Speyside Distillery!,Scotland,1,NA,NA,G
Fruity Moon,Scotland,1,1,74.5,F
Frysk Hynder,Netherlands,114,67,73.87,F
Fuaran Ile,Scotland,26,11,86.76,C
Fuji Gotemba,Japan,44,27,84.49,D
Fujikai,Japan,1,1,59.21,G
Fukano,Japan,6,2,85.34,C
Full House,United States,1,NA,NA,G
Funky Monkey,United States,1,NA,NA,G
Fuyu,Japan,1,1,78.75,E
Fyr Drenc,United Kingdom,3,1,87,C
G. Rozelieures,France,12,8,78.07,E
G.I. Whiskey,United States,2,NA,NA,G
Gairloch,Scotland,1,NA,NA,G
Galahad,Scotland,1,1,86.33,C
Galena Reserve,United States,1,NA,NA,G
Gall huiswhisky,Ireland,1,1,69.75,G
Gallagher & Burton's,United States,1,NA,NA,G
Gallantry,United States,2,1,64,G
Galleg,France,1,1,55.67,G
Gammelstilla,Sweden,2,2,85.84,C
Gantree's,United States,1,NA,NA,G
Garavan's,Ireland,1,NA,NA,G
Garn Kirk,Scotland,1,NA,NA,G
Garnheath,Scotland,26,21,86.63,C
Garrison Brothers,United States,12,6,78.12,E
Garryana,United States,2,2,89.5,C
Gasthof Hirsch,Germany,1,1,58,G
Gäu Whisky,Germany,5,1,83,D
Gelephu,Bhutan,1,NA,NA,G
Gelston's,Ireland,3,2,88.75,C
Gemenc,Hungary,2,1,78,E
Gemikste Schotse klap in je smoel uit Rotterdam,Netherlands,1,1,79,E
Gems of Scotland,Scotland,7,6,80.72,D
General,Scotland,1,NA,NA,G
General Nelson,Norway,1,NA,NA,G
Genius,,1,NA,NA,G
Gentleman,Scotland,1,1,91.5,B
Gentry,United States,1,NA,NA,G
Genuine Scotch,Scotland,1,NA,NA,G
Geo. Roe & Co's,Ireland,4,1,84,D
Geometrika,,1,NA,NA,G
George,Austria,1,NA,NA,G
George Denis,Scotland,1,NA,NA,G
George Dickel,United States,59,34,80.77,D
George Remus,United States,2,NA,NA,G
George T. Stagg,United States,18,18,89.1,C
George Urquhart,Scotland,1,NA,NA,G
George Washington,United States,3,NA,NA,G
Georgia Moon,United States,2,1,47.85,G
Gerhard Büchner,Germany,4,3,66.28,G
Gerlachus WiskiE,Netherlands,7,2,64.5,G
Germain Bros.,Scotland,1,NA,NA,G
Gerston,Scotland,8,7,84.05,D
Geulhems Goud,Belgium,2,1,85,C
Geuting,Germany,18,9,75.52,E
Ghibinèt,Italy,2,2,75.67,E
Ghillie,Scotland,1,1,85,C
Ghost Owl,United States,2,2,50.5,G
Giant's  Causeway,Germany,NA,NA,NA,G
Giant's Choice,Ireland,1,1,84.2,D
Gibson's Finest,Canada,13,5,79.97,E
Gilavar,Azerbaijan,1,NA,NA,G
Gilbey's,Scotland,7,2,84.38,D
Gillon's,Scotland,1,NA,NA,G
Gilors,Germany,13,9,65.22,G
Ginkgo,Japan,1,1,84.5,D
Girvan,Scotland,133,92,83.81,D
Give 'n' Tell,Scotland,1,1,91,B
Gjoleid,Norway,5,5,78.13,E
Glacier Distilling,United States,5,1,63,G
Glamis,Scotland,8,4,81.38,D
Glamis Castle,Scotland,2,1,90,B
Glan Iarran,Germany,1,NA,NA,G
Glan Taint,Germany,1,NA,NA,G
Glann ar Mor,France,26,19,82.86,D
Glasgow City of Culture,Scotland,1,NA,NA,G
Glasgow European City of Culture,Scotland,1,NA,NA,G
Glasgow Herald,Scotland,1,1,86.5,C
Gleaming,Scotland,1,1,89.92,C
Gleann Banbh,Scotland,5,5,84.02,D
Gleann Muir,Switzerland,1,NA,NA,G
Glen,Scotland,7,6,80.89,D
Glen Adam,Scotland,3,1,80.63,D
Glen Afton,Scotland,1,NA,NA,G
Glen Alan,Scotland,1,NA,NA,G
Glen Alba,Scotland,2,2,84.25,D
Glen Albyn,Scotland,151,102,86.06,C
Glen Ardoch,Scotland,3,2,58.65,G
Glen Argyll,Scotland,1,NA,NA,G
Glen Arvin,Scotland,1,NA,NA,G
Glen Avon,Scotland,44,34,88.69,C
Glen Bannock,Scotland,2,NA,NA,G
Glen Bervie,Scotland,1,1,50,G
Glen Blair,Scotland,6,1,73,F
Glen Breton,Canada,25,11,76.07,E
Glen Broch,Scotland,4,3,67.35,G
Glen Brora,Scotland,1,1,90,B
Glen Burn,Scotland,2,NA,NA,G
Glen Cairn,Scotland,7,NA,NA,G
Glen Calder,Scotland,10,3,83.9,D
Glen Carren,Scotland,3,NA,NA,G
Glen Carron,Scotland,2,NA,NA,G
Glen Castle,,10,2,90.13,B
Glen Catrine,Scotland,3,1,77,E
Glen Cawdor,Scotland,8,6,92.05,B
Glen Clova,Scotland,2,NA,NA,G
Glen Clyde,Scotland,7,4,61.29,G
Glen Corrie,Scotland,1,NA,NA,G
Glen Coulmony,Scotland,1,NA,NA,G
Glen Craige,Scotland,1,1,83,D
Glen Crinan,Scotland,6,1,63,G
Glen Darbach,Scotland,1,NA,NA,G
Glen Deer,Scotland,1,1,88.55,C
Glen Demort,Scotland,2,1,92,B
Glen Deveron,Scotland,75,42,81.89,D
Glen Dhu,Scotland,1,1,74,F
Glen Dorsey,Scotland,1,NA,NA,G
Glen Douglas,Scotland,5,4,77.49,E
Glen Downan,Scotland,2,1,81,D
Glen Drumm,Scotland,3,1,94,B
Glen Drummond,Scotland,5,4,84.75,D
Glen Eagle,Scotland,5,1,82,D
Glen Eason,Scotland,1,NA,NA,G
Glen Edward's,Scotland,2,1,78,E
Glen Elg,Scotland,2,NA,NA,G
Glen Elgin,Scotland,399,310,86.15,C
Glen Ellis,Scotland,1,NA,NA,G
Glen Els,Germany,212,180,86.04,C
Glen Faye,Scotland,1,NA,NA,G
Glen Findlay,Scotland,1,NA,NA,G
Glen Finloch,Scotland,4,1,77,E
Glen Fiona,United Kingdom,NA,NA,NA,G
Glen Flagler,Scotland,33,23,85.02,C
Glen Fohdry,Scotland,3,NA,NA,G
Glen Forrest,Scotland,1,1,66,G
Glen Foster,Scotland,1,1,78,E
Glen Foyle,Scotland,2,NA,NA,G
Glen Franciscan,Scotland,3,1,88,C
Glen Fraser,Scotland,5,3,90.4,B
Glen Fruin,Scotland,1,NA,NA,G
Glen Fyne,Scotland,1,1,78,E
Glen Galwan,Scotland,2,1,70,F
Glen Garioch,Scotland,549,422,86.03,C
Glen Garry,Scotland,7,5,77.97,E
Glen Garvin,Scotland,1,NA,NA,G
Glen Gency,Scotland,3,NA,NA,G
Glen George,Scotland,1,1,86.67,C
Glen Ghillie,Scotland,1,NA,NA,G
Glen Gordon,Scotland,12,10,90.06,B
Glen Graeme,Scotland,3,NA,NA,G
Glen Grant,Scotland,1297,986,87.2,C
Glen Green,Scotland,1,1,50,G
Glen Grigor,Scotland,2,NA,NA,G
Glen Grouse,Scotland,2,1,75.5,E
Glen Gyle,Scotland,3,2,80.5,D
Glen Hood,Scotland,1,1,66.33,G
Glen Hunter,Scotland,2,NA,NA,G
Glen Ila,Scotland,3,2,85.13,C
Glen Keith,Scotland,406,324,86.75,C
Glen Kella,United Kingdom,4,3,69.58,G
Glen Kirk,Scotland,6,4,72.54,F
Glen Lairg,Scotland,1,NA,NA,G
Glen Laogh,Scotland,1,NA,NA,G
Glen Leora,Scotland,1,NA,NA,G
Glen Lord,Scotland,2,NA,NA,G
Glen Lyon,Scotland,3,1,86.75,C
Glen Mac Clay,Scotland,1,NA,NA,G
Glen Mansion,Scotland,1,1,40,G
Glen Marnoch,Scotland,15,11,80.05,D
Glen Martin,Scotland,2,1,82,D
Glen Mavis,Scotland,1,1,82,D
Glen Mhor,Scotland,203,157,86.76,C
Glen Mill,Scotland,1,NA,NA,G
Glen Mist,Scotland,1,NA,NA,G
Glen Monson,Scotland,1,NA,NA,G
Glen Moore,Scotland,1,NA,NA,G
Glen Morar,Scotland,1,NA,NA,G
Glen Moray,Scotland,776,548,85.7,C
Glen Morgain,Scotland,1,1,28.5,G
Glen Morris,Scotland,4,2,78,E
Glen Morven,Scotland,9,6,73.25,F
Glen Ness,Scotland,2,NA,NA,G
Glen Nevis,Scotland,10,1,84.6,D
Glen Nicol,Scotland,3,NA,NA,G
Glen Olo,Scotland,1,1,89.29,C
Glen Orchy,Scotland,5,3,69.77,G
Glen Ord,Scotland,261,199,84.91,D
Glen Orrin,Scotland,2,2,78.59,E
Glen Orson,Scotland,3,1,69,G
Glen Parker,Scotland,6,3,69.57,G
Glen Piper,Scotland,2,NA,NA,G
Glen Quaich,Scotland,1,1,80,D
Glen Ranoch,Scotland,3,1,73,F
Glen Raven,Scotland,1,NA,NA,G
Glen Rhine,Switzerland,3,1,70,F
Glen Roger's,Scotland,6,1,72.5,F
Glen Rosa,Scotland,6,2,70.84,F
Glen Rossie,Scotland,4,1,77,E
Glen Rowan,Scotland,2,1,76,E
Glen Rowland,Scotland,1,NA,NA,G
Glen Russell,Scotland,2,1,50,G
Glen Sannox,Scotland,1,NA,NA,G
Glen Saunders,Scotland,2,1,79,E
Glen Scanlan,Scotland,13,7,62.57,G
Glen Scotia,Scotland,490,353,85.18,C
Glen Shee,Scotland,1,NA,NA,G
Glen Shira,Scotland,1,NA,NA,G
Glen Shodnya,,1,1,87.11,C
Glen Slitisa,Germany,6,3,75.83,E
Glen Sloy,Scotland,5,3,73.17,F
Glen Spey,Scotland,212,139,83.95,D
Glen Stuart,Scotland,NA,NA,NA,G
Glen Talloch,Scotland,10,8,66.46,G
Glen Thunder,United States,2,NA,NA,G
Glen Torness,Scotland,1,1,78,E
Glen Torran,Scotland,5,1,78,E
Glen Tosh,Scotland,1,NA,NA,G
Glen Turner,Scotland,21,15,76.49,E
Glen Urquhart,Scotland,3,1,84.67,D
Glen Usk,Scotland,1,NA,NA,G
Glen Vegan,Scotland,2,NA,NA,G
Glen Victory,Scotland,1,NA,NA,G
Glen'h,Scotland,1,1,73,F
Glenalba,Scotland,7,7,83.32,D
Glenallachie,Scotland,329,245,84.5,D
Glenalmond,Scotland,14,4,78.13,E
Glenandrew,Scotland,6,2,80.17,D
Glenbachie,Scotland,1,1,76.33,E
Glenbeg,Scotland,1,1,83,D
Glenberry,Scotland,6,1,78,E
Glenborrodale,Scotland,5,5,84.71,D
Glenbridge,Scotland,1,1,86,C
Glenburgie,Scotland,476,342,85.93,C
Glenburn,Scotland,1,1,85,C
Glencadam,Scotland,273,199,85.65,C
Glencoe,Scotland,10,7,84.29,D
Glencraig,Scotland,61,43,87.15,C
Glendalough,Ireland,20,17,79.43,E
Glendamore,Scotland,1,NA,NA,G
Glendarroch,Scotland,6,3,81.17,D
Glenderry Private Reserve,Scotland,3,NA,NA,G
Glendorris,Scotland,1,1,76,E
Glendower,Scotland,7,4,74.25,F
Glendramroc,Scotland,1,1,79,E
Glendronach,Scotland,1198,1032,87.96,C
Glendrostan,Scotland,5,2,75,E
Glendullan,Scotland,188,127,84.14,D
Gleneagles,Scotland,1,1,89,C
Glenesk,Scotland,81,55,86.39,C
Glenfairn,Scotland,6,1,83,D
Glenfairytales,Scotland,1,1,89.9,C
Glenfarclas,Scotland,1621,1172,88.3,C
Glenfiddich,Scotland,766,532,84.85,D
Glenforres,Scotland,8,3,69.25,G
Glenfoyle,Scotland,5,2,72.8,F
Glengannon,Scotland,2,1,74.5,F
Glengarrett,Scotland,4,1,70,F
Glengarry,Scotland,4,4,79.1,E
Glenglassaugh,Scotland,392,307,87.63,C
Glengoyne,Scotland,661,509,86.19,C
Glengyle,Scotland,NA,NA,NA,G
Glenham,Scotland,1,NA,NA,G
Glenisla,Scotland,8,7,83.08,D
Glenkenny,Scotland,1,1,61.67,G
Glenkinchie,Scotland,140,85,82.66,D
Glenleven,Scotland,7,4,82.69,D
Glenlivet,Scotland,1519,1114,86.53,C
Glenlochy,Scotland,100,71,89.43,C
Glenlogie,Scotland,2,NA,NA,G
Glenlomyn,Scotland,1,NA,NA,G
Glenlossie,Scotland,413,312,86.04,C
Glenluig,Scotland,2,2,66.25,G
Glenmark,Scotland,6,NA,NA,G
Glenmorangie,Scotland,566,403,85.38,C
Glenmore,,4,2,83.25,D
Glenmoriston,Scotland,2,1,84,D
Glenmoy,Scotland,1,1,81.26,D
Glenn,Sweden,1,1,83.07,D
Glenora,Canada,4,3,79.39,E
Glenpark,Scotland,2,2,81.42,D
Glenridell,Scotland,1,NA,NA,G
Glenroc,France,1,NA,NA,G
Glenrosa,Scotland,3,NA,NA,G
Glenrothes,Scotland,1275,941,85.97,C
Glenrowan,Scotland,1,1,85,C
Glens Extra,Scotland,2,2,87.5,C
Glensbury,Scotland,1,1,86,C
Glensheil,Scotland,1,1,86,C
GlenShiel,Scotland,3,NA,NA,G
Glenshire,Scotland,2,1,55,G
Glenside,Scotland,3,1,76,E
Glentauchers,Scotland,485,352,85.31,C
Glentime,Scotland,2,1,74,F
Glentoshan,Scotland,2,1,84.5,D
Glentromie,Scotland,3,3,82,D
Glenturret,Scotland,428,309,84.53,D
Glenugie,Scotland,116,81,88.1,C
Glenury Royal,Scotland,106,80,88.64,C
Glenwood,Scotland,3,1,86,C
Glina Whisky,Germany,13,5,72.6,F
Gloag's Perth Whisky,Scotland,1,1,90,B
Glorious Bastard,Scotland,1,1,79.86,E
Glorious Ginger,Scotland,1,1,87.18,C
Glynnevan,Canada,2,1,72,F
GMB,Scotland,1,NA,NA,G
Goalong Liquor,China,4,2,58,G
Goblin's peated Islay,Scotland,2,2,86.34,C
Golani,Israel,7,5,79.2,E
Gold Bar,United States,1,NA,NA,G
Gold Coach,United States,1,NA,NA,G
Gold Cock,Czech Republic,33,26,85.93,C
Gold Crown,Scotland,1,1,75.75,E
Gold Fusion,Belgium,2,2,86.53,C
Gold King Whisky,Japan,3,NA,NA,G
Gold King Whisky,Czech Republic,1,NA,NA,G
Gold Label,Scotland,1,NA,NA,G
Gold Lion,Scotland,1,NA,NA,G
Gold Medal,India,2,NA,NA,G
Gold Member,Scotland,1,NA,NA,G
Gold Ochsen,Germany,1,1,68.25,G
Gold River,Scotland,1,NA,NA,G
Gold Rush,Scotland,1,NA,NA,G
Gold Shot,Scotland,1,1,85,C
Gold Standard,Scotland,1,1,90,B
Gold Star,Scotland,3,1,72,F
Gold Wasser,Poland,1,NA,NA,G
Golden Age,Scotland,1,NA,NA,G
Golden Arms,France,1,NA,NA,G
Golden Boat,,1,NA,NA,G
Golden Crown,Scotland,1,NA,NA,G
Golden Dew,Scotland,1,1,59.67,G
Golden Distillery,United States,1,NA,NA,G
Golden Eagle,Scotland,4,1,81,D
Golden Goal,Scotland,1,NA,NA,G
Golden Grain,Scotland,5,5,89.8,C
Golden Harvest,Scotland,1,NA,NA,G
Golden Horse,Japan,9,5,82.13,D
Golden Loch,Scotland,2,2,67.5,G
Golden Oak,Nepal,1,1,65,G
Golden Pipe,Scotland,1,NA,NA,G
Golden Piper,Scotland,1,NA,NA,G
Golden Rare,Scotland,1,1,87.5,C
Golden Ribbon,Scotland,1,NA,NA,G
Golden River,Scotland,1,NA,NA,G
Golden Scanlan,Scotland,1,1,74,F
Golden Shoe,Scotland,5,2,55.42,G
Golden Spirit,Scotland,1,NA,NA,G
Golden Stag,Canada,1,1,60,G
Golden Sun,United States,1,NA,NA,G
Golden Velvet,Scotland,2,1,58,G
Golden Wedding,United States,2,NA,NA,G
Goldlys,Belgium,30,25,72.81,F
Gölles,Austria,2,1,81,D
Good Old Riedbacher,Germany,2,NA,NA,G
Gooderham & Worts Ltd.,Canada,8,5,83.37,D
Gooderham's,Canada,1,1,85.75,C
Gordon Highlander,Scotland,11,NA,NA,G
Gouden Carolus,Belgium,7,6,75.65,E
Governor's Cellar,Scotland,1,NA,NA,G
Grain,Scotland,3,3,79.7,E
Grain Scotch Whisky,Scotland,2,1,79,E
Grainiac,United States,1,1,78,E
Gran Old Peel,United States,1,NA,NA,G
Grand Alastair,Scotland,3,NA,NA,G
Grand Award,Canada,3,NA,NA,G
Grand Bark,Sweden,2,2,83.25,D
Grand Coronation,Scotland,1,NA,NA,G
Grand Duke,Scotland,2,NA,NA,G
Grand Dulky,Scotland,1,NA,NA,G
Grand Macnish,Scotland,22,6,72.25,F
Grand Old,Scotland,1,1,87,C
Grand Old Parr,Scotland,28,20,81.67,D
Grand Royal,Myanmar,3,2,78.63,E
Grand Scot,Scotland,1,1,76,E
Grand Traverse,United States,3,1,81.67,D
Grande Canadian,Canada,1,NA,NA,G
Grangestone,Scotland,10,3,72.07,F
Granit Destillerie,Austria,2,1,20.75,G
Grannie's,Scotland,1,NA,NA,G
Grant's,Scotland,97,46,74.77,F
Grant's Royal,Scotland,7,3,82,D
Grass Widow,United States,1,NA,NA,G
Grau's Legend,,1,NA,NA,G
Grayson,Scotland,1,NA,NA,G
Great Bargee,,1,NA,NA,G
Great Battle,Scotland,1,NA,NA,G
Great King Street,Scotland,14,10,84,D
Great Outback,Australia,2,1,75.25,E
Great Scots,Scotland,1,NA,NA,G
Green & White,Ireland,2,1,84,D
Green Douglas,Belgium,1,1,64.77,G
Green Label,United States,1,NA,NA,G
Green Land,Iceland,1,NA,NA,G
Green Meadows,Scotland,2,2,86.28,C
Green Park,Scotland,3,NA,NA,G
Green Spot,Ireland,13,10,82.89,D
Greenfield,Scotland,1,1,87,C
Greenore,Ireland,16,13,80.5,D
Gremil's Whisky,Switzerland,2,NA,NA,G
Grendel's,Scotland,8,2,84.84,D
Gretna Green,Scotland,1,NA,NA,G
Greyhound,,2,NA,NA,G
Gribhinneach,Scotland,1,1,87,C
Griersons No.1,Scotland,5,NA,NA,G
Griffin Ranch,United States,1,NA,NA,G
Griffo Distillery,United States,6,NA,NA,G
Grüner Hund,Germany,12,5,75.6,E
Gruwehewwel,Germany,4,3,88.95,C
Gryphon,Germany,1,1,72,F
Grythyttan,Sweden,21,9,81.76,D
Guard House,Canada,1,1,55,G
Guckenheimer,United States,3,NA,NA,G
Guglhof,Austria,12,7,73.52,F
Guillon,France,18,14,75.05,E
Gun Fighter,United States,3,2,84.84,D
Gunpowder,United States,1,NA,NA,G
Gutevin,Sweden,2,2,73.84,F
Gutshof Andres,Germany,1,NA,NA,G
GWD - Great West Distillers,Canada,1,NA,NA,G
Gwenroc,France,1,1,65,G
Haas,Germany,11,4,76.19,E
Habbel,Germany,2,1,53.33,G
Haeusler & Katsch,Germany,1,NA,NA,G
Hagen-Ruehli,Switzerland,12,4,80.25,D
Hågmoar,Austria,1,1,63.33,G
Haig,Scotland,50,28,78.91,E
Haig & Haig,Scotland,4,3,84.21,D
Hakushu,Japan,119,96,87.32,C
Hälge,Sweden,2,1,52.17,G
Haller's,United States,3,1,100,A
Halley's Comet,Scotland,1,NA,NA,G
Hallmark,Scotland,1,NA,NA,G
Hamashkeh,Scotland,1,NA,NA,G
Hamburg Malt,Germany,3,3,80.5,D
Hamilton,Canada,3,NA,NA,G
Hamilton's,Scotland,1,NA,NA,G
Hamiltons,Scotland,9,4,74.17,F
Hamlet of Marypark,Scotland,1,NA,NA,G
Hammer Head,Czech Republic,5,4,77.46,E
Hammer Village,Scotland,1,NA,NA,G
HammerFall,Scotland,2,2,81.39,D
Hancock's Reserve,United States,4,3,81.68,D
Hankey Bannister,Scotland,21,15,80.39,D
Hannisville,United States,2,1,92,B
Hanyu,Japan,149,136,88.99,C
Haran,Spain,1,1,77,E
Harley-Davidson Traef,Scotland,1,1,83,D
Harmony,Scotland,1,NA,NA,G
Harold Robertson's,Scotland,1,NA,NA,G
Harolds Club,United States,1,1,89.5,C
Harrier,South Africa,1,NA,NA,G
Harris & Tustin,Scotland,1,1,82.75,D
Harrods,Scotland,5,3,74.33,F
Harry's New York Bar,Scotland,NA,1,90,B
Hart's,Scotland,2,NA,NA,G
Hartfield & Co.,United States,3,NA,NA,G
Harvey's,Scotland,3,1,81.5,D
Harwood,Canada,3,1,70,F
Hatfield & McCoy,United States,NA,NA,NA,G
Hattfield,,1,NA,NA,G
Hayner,United States,1,NA,NA,G
Hazelburn,Scotland,177,125,85.5,C
Hazelgrove,Scotland,4,4,84.91,D
Hazelwood,Scotland,5,3,91.12,B
HBC,Scotland,1,1,76,E
HE8,Scotland,1,NA,NA,G
Headframe Spirits,United States,2,NA,NA,G
Heart of Kentucky,United States,1,1,80,D
Heart of Mystic,United States,1,NA,NA,G
Heart of Scotland,Scotland,1,NA,NA,G
Heartwood,Australia,34,13,87.71,C
Heather,Scotland,1,NA,NA,G
Heather & Peat,Scotland,1,1,85,C
Heather Dew,Scotland,5,2,66,G
Heathercrest,Scotland,1,NA,NA,G
Heathland Whisky,Austria,1,1,43,G
Heaven Hill,United States,82,43,83.92,D
Heaven's Door,United States,3,NA,NA,G
"Heavily Peated ""L""",Scotland,2,1,72,F
Hebridean,Scotland,1,1,87.1,C
Hebridean Princess,Scotland,4,NA,NA,G
Hebrides,Scotland,2,1,92.5,B
Hedges & Butler,Scotland,12,9,81.78,D
Hedonism,Scotland,24,17,86.48,C
Heebie Jeebies,Scotland,1,NA,NA,G
Helios Whisky,Japan,1,1,73.75,F
Hell Fire,Switzerland,2,1,78.6,E
Hell-Cat Maggie,Ireland,1,1,69,G
Hellyers Road,Australia,28,14,80.23,D
Helsinki Distilling Company,Finland,7,5,75.4,E
Hemel,Netherlands,2,2,46,G
Henderson & Turnbull,Scotland,2,2,74.5,F
Henry Clay,United States,1,NA,NA,G
Henry Downes,Ireland,1,1,83,D
Henry Mason,United States,1,1,65,G
Henry McKenna,United States,18,5,84.77,D
Henry Watterson,United States,2,NA,NA,G
Hepp,France,6,4,74.88,F
Heriot-Watt University,Scotland,2,NA,NA,G
Heritage,United States,3,NA,NA,G
Heritage Cask Whiskey,United States,1,NA,NA,G
Herman Marshall,United States,3,1,72,F
Herr Lüthy,Switzerland,14,6,79.95,E
Hessentagswhisky,Germany,1,1,74.25,F
Hessischer Single Malt Whisky,Germany,1,1,82.33,D
Hewitts,Ireland,2,1,78,E
Hibernian Supporters' Association,Scotland,1,NA,NA,G
Hibiki,Japan,77,46,87,C
Hicks & Healey,United Kingdom,3,1,87.5,C
Hierber,Luxembourg,1,1,51,G
High Commissioner,Scotland,2,1,70.86,F
High County,Scotland,1,NA,NA,G
High Liquors,United States,1,NA,NA,G
High Spirits,United States,1,1,72,F
High West Whiskey,United States,94,53,84.54,D
High Wheeler,Australia,1,1,83.75,D
